row_index,build,questionnaire_type,score_pid,matched_tracking_pid,id_match_mode,tracking_file,source_score_row,vr_system_raw,vr_system_ordinal,vr_system_label
0,B,SUS,FAB19823F,FAB19823F,exact,FAB19823F_BuildB_20230123_140947.csv,0,1,0,no_vr_system
1,B,SUS,FAB20552M,FAB20552M,exact,FAB20552M_BuildB_20220728_153648.csv,1,1,0,no_vr_system
2,B,SUS,FAB35565M,FAB35565M,exact,FAB35565M_BuildB_20220718_130814.csv,2,2,1,has_vr_system
3,B,SUS,FAB36376F,FAB36376F,exact,FAB36376F_BuildB_20230123_160816.csv,3,1,0,no_vr_system
4,B,SUS,FAB43889M,FAB43889M,exact,FAB43889M_BuildB_20220713_202016.csv,4,1,0,no_vr_system
5,B,SUS,FAB62905F,FAB62905F,exact,FAB62905F_BuildB_20230216_172500.csv,5,1,0,no_vr_system
6,B,SUS,FAB64182M,FAB64182M,exact,FAB64182M_BuildB_20230123_153416.csv,6,1,0,no_vr_system
7,B,SUS,FAB68627M,FAB68627M,exact,FAB68627M_BuildB_20221117_150530.csv,7,1,0,no_vr_system
8,B,SUS,FAB75290M,FAB75290M,exact,FAB75290M_BuildB_20230113_175016.csv,8,1,0,no_vr_system
9,B,SUS,FAB90971F,FAB90971F,exact,FAB90971F_BuildB_20230216_162812.csv,9,1,0,no_vr_system
10,B,SUS,FAB95060F,FAB95060F,exact,FAB95060F_BuildB_20230210_193829.csv,10,1,0,no_vr_system
11,B,SUS,FAB95536F,FAB95536F,exact,FAB95536F_BuildB_20221007_213652.csv,11,1,0,no_vr_system
12,B,SUS,FAB96284O,FAB96284M,base_key,FAB96284M_BuildB_20220921_164620.csv,12,1,0,no_vr_system
13,B,SUS,FAB10068F,FAB10068F,exact,FAB10068F_BuildB_20221130_160121.csv,13,1,0,no_vr_system
14,B,SUS,FAB11629F,FAB11629F,exact,FAB11629F_BuildB_20220707_190259.csv,14,2,1,has_vr_system
15,B,SUS,FAB12013F,FAB12013F,exact,FAB12013F_BuildB_20230113_172653.csv,15,1,0,no_vr_system
16,B,SUS,FAB12101F,FAB12101F,exact,FAB12101F_BuildB_20230214_202531.csv,16,1,0,no_vr_system
17,B,SUS,FAB13229M,FAB13229M,exact,FAB13229M_BuildB_20230203_200418.csv,17,2,1,has_vr_system
18,B,SUS,FAB15389M,FAB15389M,exact,FAB15389M_BuildB_20221118_212822.csv,18,1,0,no_vr_system
19,B,SUS,FAB15605M,FAB15605M,exact,FAB15605M_BuildB_20221011_130431.csv,19,1,0,no_vr_system
20,B,SUS,FAB15800O,FAB15800F,base_key,FAB15800F_BuildB_20230120_210902.csv,20,2,1,has_vr_system
21,B,SUS,FAB16401F,FAB16401F,exact,FAB16401F_BuildB_20220718_143556.csv,21,1,0,no_vr_system
22,B,SUS,FAB16803F,FAB16803F,exact,FAB16803F_BuildB_20220707_163851.csv,22,1,0,no_vr_system
23,B,SUS,FAB17745M,FAB17745M,exact,FAB17745M_BuildB_20220719_135049.csv,23,2,1,has_vr_system
24,B,SUS,FAB20077M,FAB20077M,exact,FAB20077M_BuildB_20221122_152331.csv,24,2,1,has_vr_system
25,B,SUS,FAB21337F,FAB21337F,exact,FAB21337F_BuildB_20220725_205807.csv,25,1,0,no_vr_system
26,B,SUS,FAB21952F,FAB21952F,exact,FAB21952F_BuildB_20230120_180212.csv,26,1,0,no_vr_system
27,B,SUS,FAB22008F,FAB22008F,exact,FAB22008F_BuildB_20230125_153037.csv,27,1,0,no_vr_system
28,B,SUS,FAB26097M,FAB26097M,exact,FAB26097M_BuildB_20230113_210424.csv,28,2,1,has_vr_system
29,B,SUS,FAB26146M,FAB26146M,exact,FAB26146M_BuildB_20230123_131630.csv,29,1,0,no_vr_system
30,B,SUS,FAB26282M,FAB26282M,exact,FAB26282M_BuildB_20220630_152126.csv,30,1,0,no_vr_system
31,B,SUS,FAB28076M,FAB28076M,exact,FAB28076M_BuildB_20221122_140044.csv,31,1,0,no_vr_system
32,B,SUS,FAB28505M,FAB28505M,exact,FAB28505M_BuildB_20221130_170310.csv,32,1,0,no_vr_system
33,B,SUS,FAB30237M,FAB30237M,exact,FAB30237M_BuildB_20220923_213210.csv,33,1,0,no_vr_system
34,B,SUS,FAB31369F,FAB31369F,exact,FAB31369F_BuildB_20221118_230158.csv,34,2,1,has_vr_system
35,B,SUS,FAB31608M,FAB31608M,exact,FAB31608M_BuildB_20221115_151404.csv,35,1,0,no_vr_system
